"Scenario","Year","share_LFP","Ni_Co_ratio","Cobalt","Copper","Lithium","Nickel","ev_Cobalt","ev_Copper","ev_Lithium","ev_Nickel"
"SPS_x0.8",2027,0.55420421499582,6.10631937882742,213.507508872975,23196.8202186788,263.582385822606,1462.85543434353,83.667714984552,835.574909886715,173.643099897013,510.901789392379
"SPS_x0.8",2028,0.554275675305988,6.34716928507714,225.952758678709,23812.4811211196,296.903187962582,1576.79902637594,93.8628226913835,981.956393752145,202.517902506008,595.763225197391
"SPS_x0.8",2029,0.554329300980016,6.54082450417522,238.398008484444,24428.1420235604,330.223990102559,1690.74261840834,104.057930398215,1128.33787761758,231.392705115002,680.624661002403
"SPS_x0.8",2030,0.554371027890608,6.69991896498729,250.843258290178,25043.8029260013,363.544792242535,1804.68621044075,114.253038105046,1274.71936148301,260.267507723996,765.486096807415
"SPS_x0.8",2031,0.556210403999385,7.54232774275804,253.154489113723,25244.6162599487,401.713047284976,1907.65507833045,114.18455715757,1413.33501544799,294.030051493306,861.217353244078
"SPS_x0.8",2032,0.557670869679565,8.38574757792195,255.465719937267,25445.4295938962,439.881302327418,2010.62394622016,114.116076210093,1551.95066941298,327.792595262616,956.948609680741
"SPS_x0.8",2033,0.558858574548862,9.23018029177567,257.776950760812,25646.2429278436,478.04955736986,2113.59281410986,114.047595262616,1690.56632337796,361.555139031926,1052.6798661174
"SPS_x0.8",2034,0.559843404923143,10.0756277099929,260.088181584357,25847.0562617911,516.217812412301,2216.56168199956,113.979114315139,1829.18197734295,395.317682801236,1148.41112255407
"SPS_x0.8",2035,0.560673250860678,10.9220916626378,262.399412407901,26047.8695957385,554.386067454743,2319.53054988926,113.910633367662,1967.79763130793,429.080226570546,1244.14237899073
"SPS_x0.8",2036,0.576328319953822,11.4314540949529,262.587275947518,26282.0160837625,591.633972554682,2393.91532728819,112.807914521112,2052.40592173018,461.177039134912,1289.55849639547
"SPS_x0.8",2037,0.589946071169143,11.9508730613522,262.775139487134,26516.1625717865,628.881877654622,2468.30010468713,111.705195674562,2137.01421215242,493.273851699279,1334.97461380021
"SPS_x0.8",2038,0.601899906075322,12.480649356085,262.963003026751,26750.3090598105,666.129782754562,2542.68488208606,110.602476828012,2221.62250257467,525.370664263646,1380.39073120494
"SPS_x0.8",2039,0.612477230191699,13.0210958900116,263.150866566367,26984.4555478345,703.377687854501,2617.069659485,109.499757981462,2306.23079299691,557.467476828012,1425.80684860968
"SPS_x0.8",2040,0.621902861793097,13.5725383069118,263.338730105984,27218.6020358585,740.625592954441,2691.45443688393,108.397039134912,2390.83908341916,589.564289392379,1471.22296601442
"SPS_x0.8",2041,0.625441763031324,13.4075870756404,269.109469057088,27501.750386738,763.36974164834,2730.91462377442,112.275870236869,2430.42554067971,608.938970133883,1505.34850669413
"SPS_x0.8",2042,0.628762413141088,13.2536524964509,274.880208008192,27784.8987376175,786.113890342239,2770.3748106649,116.154701338826,2470.01199794027,628.313650875386,1539.47404737384
"SPS_x0.8",2043,0.631884398144225,13.1096665744622,280.650946959296,28068.047088497,808.858039036138,2809.83499755538,120.033532440783,2509.59845520082,647.68833161689,1573.59958805355
"SPS_x0.8",2044,0.634825028577869,12.9746950406505,286.4216859104,28351.1954393765,831.602187730037,2849.29518444587,123.912363542739,2549.18491246138,667.063012358393,1607.72512873326
"SPS_x0.8",2045,0.637599660621846,12.8479170570233,292.192424861505,28634.343790256,854.346336423936,2888.75537133635,127.791194644696,2588.77136972194,686.437693099897,1641.85066941298
"SPS_x0.8",2046,0.640359215961368,12.7634237147167,296.012697343002,28889.9810473531,870.203590343557,2926.26992511336,129.743141091658,2630.51441812564,697.651807415036,1655.9666838311
"SPS_x0.8",2047,0.643031460095519,12.6814350441088,299.8329698245,29145.6183044502,886.060844263177,2963.78447889037,131.69508753862,2672.25746652935,708.865921730175,1670.08269824923
