panel,cat,water_impact_B,cost_B
b,"Demand
>1,100 Mt",3828.678832809763,4744.548697573612
b,"Demand
>1,100 Mt",4880.685601248018,8113.504699205342
b,"Demand
>1,100 Mt",4308.291366074351,8194.639746197416
b,"Demand
>1,100 Mt",3829.302764425801,8519.17993416559
b,"Demand
>1,100 Mt",3402.765740145573,8924.855169125854
b,"Demand
>1,100 Mt",2679.75707662317,10141.880874006632
b,"Demand
<1,000 Mt",4806.277621788593,4134.433707491221
b,"Demand
<1,000 Mt",4181.203298856511,4175.778044566131
b,"Demand
<1,000 Mt",3682.238563962875,4341.155392865771
b,"Demand
<1,000 Mt",3546.5672705889338,4547.877078240352
b,"Demand
<1,000 Mt",3058.8253033089622,5168.042134364008
b,"Demand
>1,100 Mt",5003.819390808973,4170.279009960931
b,"Demand
>1,100 Mt",4523.3976602707035,4211.981800060515
b,"Demand
>1,100 Mt",3899.947849099427,4378.792960458931
b,"Demand
>1,100 Mt",3107.5656323044313,4587.306910956982
b,"Demand
>1,100 Mt",2413.575304313572,5212.848762451051
b,"Demand
>1,100 Mt",6807.049802177742,4783.792630975964
b,"Demand
>1,100 Mt",5806.3491751717775,4831.630557285704
b,"Demand
>1,100 Mt",5041.785994571903,5022.982262524739
b,"Demand
>1,100 Mt",4734.4701647457405,5262.171894073528
b,"Demand
>1,100 Mt",4480.752916089304,5979.740788719913
b,"Demand
>1,100 Mt",4772.616274276168,3728.7816016135616
b,"Demand
>1,100 Mt",4364.505715478904,3766.069417629715
b,"Demand
>1,100 Mt",3463.658604714118,3915.220681694256
b,"Demand
>1,100 Mt",2895.851934750047,4101.659761774932
b,"Demand
>1,100 Mt",1735.717964927038,4660.9770020169935
b,"Demand
<1,000 Mt",3684.041452777774,3822.109164444832
b,"Demand
<1,000 Mt",3257.7964692813944,3860.330256089291
b,"Demand
<1,000 Mt",2849.217626715368,4013.2146226670807
b,"Demand
<1,000 Mt",2685.121564598317,4204.320080889316
b,"Demand
<1,000 Mt",2333.2439162778032,4777.636455556008
b,"Demand
<1,000 Mt",3144.0996808371697,2313.6979619726935
b,"Demand
<1,000 Mt",2188.596690566848,2336.834941592409
b,"Demand
<1,000 Mt",1452.5011665875195,2429.382860071317
b,"Demand
<1,000 Mt",1081.7366849116352,2545.0677581699442
b,"Demand
<1,000 Mt",657.4927955514282,2892.1224524658555
b,"Demand
<1,000 Mt",3992.948503804412,3523.5553573872826
b,"Demand
<1,000 Mt",3480.222587654885,3558.7909109611337
b,"Demand
<1,000 Mt",3026.8575448140673,3699.73312525664
b,"Demand
<1,000 Mt",2876.6051986824195,3875.910893125995
b,"Demand
<1,000 Mt",2562.0883577582044,4404.444196734101
b,"Demand
>1,100 Mt",6731.505282575756,4385.931827730918
b,"Demand
>1,100 Mt",5897.954199721501,4429.791146008228
b,"Demand
>1,100 Mt",4758.420926940799,4605.228419117439
b,"Demand
>1,100 Mt",3987.4762764788647,4824.525010503992
b,"Demand
>1,100 Mt",3331.7222291317103,5482.41478466361
b,"Demand
>1,100 Mt",4371.131866634128,7515.552619180321
b,"Demand
>1,100 Mt",3711.488846451872,7590.708145372063
b,"Demand
>1,100 Mt",3284.200694048606,7891.330250139289
b,"Demand
>1,100 Mt",3104.5721471580973,8267.107881098285
b,"Demand
>1,100 Mt",2689.8615388490225,9394.440773975355
b,"Demand
<1,000 Mt",4193.314958388872,2778.8228178556287
b,"Demand
<1,000 Mt",3540.505911224139,2806.611046034202
b,"Demand
<1,000 Mt",2691.817157126794,2917.7639587484173
b,"Demand
<1,000 Mt",2059.69047003248,3056.705099641198
b,"Demand
<1,000 Mt",1174.8751523747608,3473.5285223195415
b,"Demand
>1,100 Mt",6829.942507388819,6355.230570160182
b,"Demand
>1,100 Mt",5941.5909017970025,6418.782875861768
b,"Demand
>1,100 Mt",5398.575037257501,6672.992098668127
b,"Demand
>1,100 Mt",5159.4251156438095,6990.753627176152
b,"Demand
>1,100 Mt",4995.709185053523,7944.038212700139
b,"Demand
<1,000 Mt",3564.6150642375524,2442.73572171128
b,"Demand
<1,000 Mt",2806.0654233239934,2467.16307892838
b,"Demand
<1,000 Mt",2032.470469541781,2564.8725077968447
b,"Demand
<1,000 Mt",1435.3048997677297,2687.009293882416
b,"Demand
<1,000 Mt",814.5888453362543,3053.419652139119
b,"Demand
>1,100 Mt",9000.943679873848,8125.88440160607
b,"Demand
>1,100 Mt",7367.277042002722,8207.14324562212
b,"Demand
>1,100 Mt",6443.79283490003,8532.178621686397
b,"Demand
>1,100 Mt",6199.59195519269,8938.472841766712
b,"Demand
>1,100 Mt",6084.788601294852,10157.35550200759
b,"Demand
<1,000 Mt",3368.188999543805,2687.6398111800277
b,"Demand
<1,000 Mt",3052.6061705406137,2714.5162092918313
b,"Demand
<1,000 Mt",2543.0649861897505,2822.021801739043
b,"Demand
<1,000 Mt",2051.318706248982,2956.403792298036
b,"Demand
<1,000 Mt",1308.5879070136127,3359.5497639750265
b,"Demand
<1,000 Mt",7712.490267995162,3987.784541635934
b,"Demand
<1,000 Mt",6595.967385214363,4027.662387052269
b,"Demand
<1,000 Mt",5625.3821653897785,4187.173768717707
b,"Demand
<1,000 Mt",5355.5561920463415,4386.562995799517
b,"Demand
<1,000 Mt",5213.516766734401,4984.730677044915
b,"Demand
>1,100 Mt",4694.94486732398,3947.160706595795
b,"Demand
>1,100 Mt",3711.289988338939,3986.632313661766
b,"Demand
>1,100 Mt",2774.415952413539,4144.518741925588
b,"Demand
>1,100 Mt",2251.093829182476,4341.876777255391
