"Scenario","metric","Mineral","Cost","Water","lab_metric"
"APS","8%","Lithium",14926.0294012724,9249.93542255241,"8%"
"APS","10%","Copper",3200.49341546439,2663.47919819938,"10%"
"APS","10%","Nickel",6422.31400914371,409.130560704191,"10%"
"APS","10%","Cobalt",11014.0581918039,603.557430252303,"10%"
"APS","10%","Lithium",15118.1609031486,8673.16905286444,"10%"
"APS","12%","Copper",3291.10987292002,2432.94909286561,"12%"
"APS","12%","Nickel",6426.62240204181,407.462108474958,"12%"
"APS","12%","Cobalt",11192.8195566962,607.491389174305,"12%"
"APS","12%","Lithium",15362.6455163752,8061.27639118431,"12%"
"APS","15%","Copper",3380.64278916712,2241.84985115632,"15%"
"APS","15%","Nickel",6431.05954387814,404.947198246004,"15%"
"APS","15%","Cobalt",11344.8436842754,611.182825233826,"15%"
"APS","15%","Lithium",15656.1862072576,7458.66364716241,"15%"
"APS","20%","Copper",3562.07920419351,1973.27168328877,"20%"
"APS","20%","Nickel",6460.34659510615,377.324226071984,"20%"
"APS","20%","Cobalt",11353.0081826866,608.302017737796,"20%"
"APS","20%","Lithium",16193.8934658382,6668.77236330354,"20%"
"APS","25%","Copper",3745.42943242808,1774.34028245402,"25%"
"APS","25%","Nickel",6500.17839524544,341.894116507362,"25%"
"APS","25%","Cobalt",11425.1079492758,610.139524335143,"25%"
"APS","25%","Lithium",16598.7954587401,6221.56192315334,"25%"
"NZE","0%","Copper",2930.38067364926,5722.08344405005,"Optimal Cost"
"NZE","0%","Nickel",7118.27317490074,623.026627015218,"Optimal Cost"
"NZE","0%","Cobalt",10850.9024746742,638.474753016515,"Optimal Cost"
"NZE","0%","Lithium",16283.8511639809,29673.5794618768,"Optimal Cost"
"NZE","0.5%","Copper",2946.90352236179,4964.90232171742,"0.5% Cost Increase"
"NZE","0.5%","Nickel",7116.0459151554,609.808390268569,"0.5% Cost Increase"
"NZE","0.5%","Cobalt",10901.0692081843,631.047950368675,"0.5% Cost Increase"
"NZE","0.5%","Lithium",16441.9266987445,22606.1519691702,"0.5% Cost Increase"
"NZE","1%","Copper",2961.00731406726,4714.44468468288,"1%"
"NZE","1%","Nickel",7115.93138429347,605.447283529258,"1%"
"NZE","1%","Cobalt",10919.9296695738,627.636233346437,"1%"
"NZE","1%","Lithium",16675.7453546145,18574.8565268351,"1%"
"NZE","2%","Copper",2997.83230414595,4363.7234847372,"2%"
"NZE","2%","Nickel",7115.57165162425,592.947862876056,"2%"
"NZE","2%","Cobalt",10981.4664060468,621.027971364023,"2%"
"NZE","2%","Lithium",16878.0983429457,16326.7630074804,"2%"
"NZE","3%","Copper",3039.1815026534,4071.6722658807,"3%"
"NZE","3%","Nickel",7130.90394822591,595.354001264305,"3%"
"NZE","3%","Cobalt",10876.4771402567,589.746770011887,"3%"
"NZE","3%","Lithium",16948.1274147946,15853.7656236095,"3%"
"NZE","4%","Copper",3079.90088171047,3835.12378421097,"4%"
"NZE","4%","Nickel",7134.57401753842,592.953138918053,"4%"
"NZE","4%","Cobalt",10894.977738557,570.595159345147,"4%"
"NZE","4%","Lithium",17034.9269467808,15354.5742949347,"4%"
"NZE","5%","Copper",3122.33533948553,3625.22376659338,"5%"
"NZE","5%","Nickel",7134.80940027308,586.103054973747,"5%"
"NZE","5%","Cobalt",10942.0495457603,569.906976951473,"5%"
"NZE","5%","Lithium",17072.5487452591,15162.1956433184,"5%"
"NZE","6%","Copper",3162.73316805883,3451.50969784008,"6%"
"NZE","6%","Nickel",7157.59311299823,535.33856503923,"6%"
"NZE","6%","Cobalt",10876.8195445905,567.668084049479,"6%"
"NZE","6%","Lithium",17131.4836855774,14926.5533848359,"6%"
"NZE","8%","Copper",3244.19010863505,3150.68558726729,"8%"
"NZE","8%","Nickel",7172.82738268114,499.28829131602,"8%"
"NZE","8%","Cobalt",10956.2360795449,562.583284551962,"8%"
"NZE","8%","Lithium",17262.5628690983,14440.6539919784,"8%"
"NZE","10%","Copper",3314.91383911542,2941.38687937201,"10%"
"NZE","10%","Nickel",7198.70925165875,410.571606028839,"10%"
"NZE","10%","Cobalt",11140.0893892787,565.841428406638,"10%"
"NZE","10%","Lithium",17641.5449894123,13332.0308677154,"10%"
"NZE","12%","Copper",3416.04044684874,2704.26006934608,"12%"
"NZE","12%","Nickel",7217.76431202786,363.933923987074,"12%"
"NZE","12%","Cobalt",11061.6734133958,559.992981932531,"12%"
"NZE","12%","Lithium",17887.2618483271,12755.0168042539,"12%"
"NZE","15%","Copper",3518.02624633863,2505.46093071384,"15%"
"NZE","15%","Nickel",7220.62586281526,361.078078302823,"15%"
"NZE","15%","Cobalt",11109.2653364792,561.212595277017,"15%"
"NZE","15%","Lithium",18120.097412213,12313.5260769506,"15%"
"NZE","20%","Copper",3725.04928741531,2194.88001157373,"20%"
"NZE","20%","Nickel",7226.62064318744,360.641796127785,"20%"
"NZE","20%","Cobalt",11133.6536733187,561.361582992106,"20%"
"NZE","20%","Lithium",18517.9952805124,11729.9959674687,"20%"
"NZE","25%","Copper",3923.86526051841,2001.12562769699,"25%"
"NZE","25%","Nickel",7251.81650647427,338.352320986381,"25%"
"NZE","25%","Cobalt",11164.8279579518,560.19632091329,"25%"
"NZE","25%","Lithium",19092.2410525501,11152.8687270741,"25%"
"SPS","0%","Copper",2818.21125280914,5491.70413433867,"Optimal Cost"
"SPS","0%","Nickel",5959.53542062181,752.86770435956,"Optimal Cost"
"SPS","0%","Cobalt",9566.62541440669,577.581382689097,"Optimal Cost"
"SPS","0%","Lithium",13235.4252575925,19455.2906123915,"Optimal Cost"
"SPS","0.5%","Copper",2829.24463181508,4795.54085552196,"0.5% Cost Increase"
"SPS","0.5%","Nickel",5976.31695264748,754.969018774396,"0.5% Cost Increase"
"SPS","0.5%","Cobalt",9969.1047033369,578.534491457697,"0.5% Cost Increase"
"SPS","0.5%","Lithium",13331.9198713424,15386.9995225811,"0.5% Cost Increase"
"SPS","1%","Copper",2842.90343019397,4484.3147929416,"1%"
"SPS","1%","Nickel",6020.22158201163,757.870814648759,"1%"
"SPS","1%","Cobalt",9834.01704686559,561.872777546512,"1%"
"SPS","1%","Lithium",13440.9198913031,13246.0404290083,"1%"
"SPS","2%","Copper",2874.02442740676,3980.05180338445,"2%"
"SPS","2%","Nickel",6022.71501902788,758.543174511565,"2%"
"SPS","2%","Cobalt",10269.2012577299,595.506462273513,"2%"
"SPS","2%","Lithium",13520.4327871125,12135.5291316046,"2%"
"SPS","3%","Copper",2903.07564515261,3609.05406598364,"3%"
"SPS","3%","Nickel",6023.19585555314,733.382300079915,"3%"
"SPS","3%","Cobalt",10790.9659500162,634.560284392587,"3%"
"SPS","3%","Lithium",13660.1134649773,10574.0576663002,"3%"
"SPS","4%","Copper",2934.21242387938,3339.65345140252,"4%"
"SPS","4%","Nickel",6033.17550384188,637.634048541333,"4%"
"SPS","4%","Cobalt",10922.9904266927,642.173223667392,"4%"
"SPS","4%","Lithium",13840.1348366579,9021.95502843319,"4%"
"SPS","5%","Copper",2962.6760646711,3137.60382015429,"5%"
"SPS","5%","Nickel",6052.86176345032,486.159358245949,"5%"
"SPS","5%","Cobalt",11199.4474937483,646.091157955694,"5%"
"SPS","5%","Lithium",14036.4790539216,7730.27001273558,"5%"
"SPS","6%","Copper",2995.08744405226,2964.0452802899,"6%"
"SPS","6%","Nickel",6059.87279305213,451.878646917834,"6%"
"SPS","6%","Cobalt",11349.7689022659,651.152757718631,"6%"
"SPS","6%","Lithium",14164.9401940713,7075.97394767219,"6%"
"SPS","8%","Copper",3063.54210230628,2687.54128198197,"8%"
"SPS","8%","Nickel",6060.48171168386,450.712529900945,"8%"
"SPS","8%","Cobalt",11429.6921469634,654.476699171028,"8%"
"SPS","8%","Lithium",14411.053356299,6028.94809284847,"8%"
"SPS","10%","Copper",3135.62598088964,2448.12359549896,"10%"
"SPS","10%","Nickel",6061.38870476112,450.146654251373,"10%"
"SPS","10%","Cobalt",11487.0928199779,656.621265927426,"10%"
"SPS","10%","Lithium",14508.6577131351,5718.31648276257,"10%"
"SPS","12%","Copper",3223.56509763585,2219.9402867609,"12%"
"SPS","12%","Nickel",6063.42566677307,437.52747475483,"12%"
"SPS","12%","Cobalt",11718.2881383484,682.632976640378,"12%"
"SPS","12%","Lithium",14652.5007341481,5352.19806724628,"12%"
"SPS","15%","Copper",3308.99785816541,2045.46832122179,"15%"
"SPS","15%","Nickel",6087.10497604591,412.539834414261,"15%"
"SPS","15%","Cobalt",11870.7980558422,675.635948946978,"15%"
"SPS","15%","Lithium",14855.1746770227,4952.3475634865,"15%"
"SPS","20%","Copper",3487.54488121454,1769.84979033816,"20%"
"SPS","20%","Nickel",6123.61481551118,376.844635684923,"20%"
"SPS","20%","Cobalt",11882.1064512004,662.213560410776,"20%"
"SPS","20%","Lithium",15095.9340293665,4576.54384065811,"20%"
"SPS","25%","Copper",3665.91889146723,1556.45887385645,"25%"
"SPS","25%","Nickel",6140.39581595147,359.599585855496,"25%"
"SPS","25%","Cobalt",12051.8945457462,667.104266316381,"25%"
"SPS","25%","Lithium",15352.1935730228,4267.43077792692,"25%"
