"Scenario","country","delta_water","delta_profit","delta_revenue","gdp_share","GDP","Region","share_gdp_bin"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Serbia",4.817240390689,81.8467149720406,81.8467149720406,0.0320491188696238,90097765959.1114,"Europe","1–5%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","South Africa",2.92747068945074,2.71241986387053,2.71241986387053,0.00173607407376226,401144998373.585,"Middle East & Africa","0.1–1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Spain",5.0840155491529,4.0607888369773,4.0607888369773,0.000612165528512989,1725671652742.19,"Europe","<0.1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Sudan",0,0,0,0,49672435513.1126,"Middle East & Africa","<0.1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Sweden",0.589487792436691,4.26255153804576,4.26255153804576,0.00136967872387163,603715224265.798,"Europe","0.1–1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Tanzania",-1.72320244820679,-1.15827649377436,-1.15827649377436,0.000176802854274833,78844405385.2195,"Middle East & Africa","<0.1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Thailand",0.00851005165897669,0.135644092853724,0.135644092853724,0,526517658841.684,"Asia & Oceania","<0.1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Türkiye",-2.36394420792426,0.269166458988837,0.269166458988837,6.90705134928027e-05,1359123768774.12,"Europe","<0.1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","United Kingdom",0.15522637948008,1.52297489424482,1.52297489424482,0,3686033044482.13,"Europe","<0.1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","USA",-194.882540347902,88.2265027603558,88.2265027603558,0.000425207246432204,28750956130731.2,"North America","<0.1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Venezuela",0,-0.115532133297905,-0.115532133297905,0,119802963257.783,"Latin America","<0.1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Vietnam",-0.0245023657714762,-2.03572397127193,-2.03572397127193,0.000105092309555033,476388230307.175,"Asia & Oceania","<0.1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Zambia",-25.5167910128683,-163.597358760517,-163.597358760517,0.276870363544636,25303185342.2511,"Middle East & Africa",">20%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Zimbabwe",-0.298937262719778,-9.14346977872824,-9.14346977872824,0.0342595291983705,41539411516.4448,"Middle East & Africa","1–5%"
"bold('+5% Cost + Water Desalination at $0.5/m'^3)","Albania",-9.0205620750794e-17,-0.00879583905308223,-0.00879583905308223,0,27046429296.6673,"Europe","<0.1%"
"bold('+5% Cost + Water Desalination at $0.5/m'^3)","Angola",0,0,0,0,100998916781.079,"Middle East & Africa","<0.1%"
"bold('+5% Cost + Water Desalination at $0.5/m'^3)","Argentina",-39.9432692719867,-5.07282737318405,-5.07282737318405,0.00185244958238528,638365455340.04,"Latin America","0.1–1%"
"bold('+5% Cost + Water Desalination at $0.5/m'^3)","Armenia",-122.85600005129,-15.117208958759,-15.117208958759,0.0260864745327443,25955275380.0321,"Europe","1–5%"
"bold('+5% Cost + Water Desalination at $0.5/m'^3)","Australia",-52.4544739866795,-27.9872313216076,-27.9872313216076,0.00749551897472183,1757022451652.83,"Asia & Oceania","0.1–1%"
"bold('+5% Cost + Water Desalination at $0.5/m'^3)","Austria",-0.00331719024778757,-0.0530622218823938,-0.0530622218823938,0,534790720466.822,"Europe","<0.1%"
"bold('+5% Cost + Water Desalination at $0.5/m'^3)","Azerbaijan",-0.985469336669572,-0.217154913069332,-0.217154913069332,0.00106047735480625,74315882352.9412,"Europe","0.1–1%"
"bold('+5% Cost + Water Desalination at $0.5/m'^3)","Bolivia",-0.0101649908434972,-0.100336911877933,-0.100336911877933,0,54881327452.9667,"Latin America","<0.1%"
"bold('+5% Cost + Water Desalination at $0.5/m'^3)","Botswana",-3.5527136788005e-15,-0.169438946366036,-0.169438946366036,0.0660125434244523,19402063512.9066,"Middle East & Africa","5–10%"
"bold('+5% Cost + Water Desalination at $0.5/m'^3)","Brazil",-0.0710914499268025,1.14257083445375,1.14257083445375,0.00289259774434687,2185821648943.86,"Latin America","0.1–1%"
"bold('+5% Cost + Water Desalination at $0.5/m'^3)","Bulgaria",0,-0.318646164780643,-0.318646164780643,0.00125518428516237,113343355779.985,"Europe","0.1–1%"
"bold('+5% Cost + Water Desalination at $0.5/m'^3)","Canada",0.226848932097317,0.150640819801964,0.150640819801964,0.00248591080926174,2243636826633.76,"North America","0.1–1%"
"bold('+5% Cost + Water Desalination at $0.5/m'^3)","Chile",-1219.2268380643,254.836378916717,254.836378916717,0.177877324749902,330267137371.592,"Latin America","10–20%"
"bold('+5% Cost + Water Desalination at $0.5/m'^3)","China",-21.6536961634133,-5.76603495728165,-5.76603495728165,0.000806223591324593,18743803170827.2,"Asia & Oceania","<0.1%"
"bold('+5% Cost + Water Desalination at $0.5/m'^3)","Colombia",0.0360770258890435,1.63109160136218,1.63109160136218,0.00134523865530147,418818154879.271,"Latin America","0.1–1%"
"bold('+5% Cost + Water Desalination at $0.5/m'^3)","Côte d'Ivoire",0,0,0,0,87113179149.284,"Middle East & Africa","<0.1%"
"bold('+5% Cost + Water Desalination at $0.5/m'^3)","Cuba",-0.0139580309717922,-0.358162542465521,-0.358162542465521,0.00629074310313668,1.07352e+11,"Latin America","0.1–1%"
"bold('+5% Cost + Water Desalination at $0.5/m'^3)","Czechia",-0.668030088954165,-1.17521806916141,-1.17521806916141,0,347034062928.479,"Europe","<0.1%"
"bold('+5% Cost + Water Desalination at $0.5/m'^3)","Dem. Rep. Congo",-0.0225170136247002,-4.03805585122007,-4.03805585122007,0.360681142750599,70962185790.7094,"Middle East & Africa",">20%"
"bold('+5% Cost + Water Desalination at $0.5/m'^3)","Dominican Republic",0.0161551645603802,-0.2929036539125,-0.2929036539125,0.000640933561879245,124282245638.568,"Latin America","<0.1%"
"bold('+5% Cost + Water Desalination at $0.5/m'^3)","Ecuador",0,-0.480341182802654,-0.480341182802654,0.00958363453860153,124676074700,"Latin America","0.1–1%"
"bold('+5% Cost + Water Desalination at $0.5/m'^3)","Eritrea",0,-0.120133438882294,-0.120133438882294,0.213327317301843,2065001626.01626,"Middle East & Africa",">20%"
"bold('+5% Cost + Water Desalination at $0.5/m'^3)","Ethiopia",-0.758133719506474,-0.461013644691556,-0.461013644691556,0,149740297952.986,"Middle East & Africa","<0.1%"
"bold('+5% Cost + Water Desalination at $0.5/m'^3)","Finland",-0.0165076941836064,-0.177715858061191,-0.177715858061191,0.00305718601833225,298696961297.656,"Europe","0.1–1%"
"bold('+5% Cost + Water Desalination at $0.5/m'^3)","France",-0.260443291663396,-1.16742584927403,-1.16742584927403,0,3160442622465.08,"Europe","<0.1%"
"bold('+5% Cost + Water Desalination at $0.5/m'^3)","Georgia",-1.06581410364015e-14,-4.66293670342566e-15,-4.66293670342566e-15,0,34189423544.9955,"Europe","<0.1%"
